Date : 2025-10-20 15:20:30
Directory : c:\Users\a603\work\intelligent_traffic\frontend
Total : 362 files,  64034 codes, 2012 comments, 3561 blanks, all 69607 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\JunctionInfo.jsx                         | JavaScript JSX     |         52 |          1 |          5 |         58 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\LeftSide.jsx                             | JavaScript JSX     |         14 |          0 |          6 |         20 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\Light.jsx                                | JavaScript JSX     |         33 |          2 |          8 |         43 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\LightControl.jsx                         | JavaScript JSX     |         71 |         20 |          5 |         96 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\ResultTrack.jsx                          | JavaScript JSX     |         83 |          1 |          7 |         91 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\RightSide.jsx                            | JavaScript JSX     |         24 |          4 |          3 |         31 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\TimeProgress.jsx                         | JavaScript JSX     |         70 |          0 |          3 |         73 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\chatComponent.module.scss            | SCSS               |         75 |          1 |         12 |         88 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\clickOptimise.module.scss            | SCSS               |         45 |          1 |          2 |         48 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\controlStrategy.module.scss          | SCSS               |         98 |          0 |          1 |         99 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\evaluation.module.scss               | SCSS               |        122 |         19 |          5 |        146 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\junctionCapture.module.scss          | SCSS               |         70 |          8 |          3 |         81 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\junctionInfo.module.scss             | SCSS               |         66 |          0 |          1 |         67 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\leftSide.module.scss                 | SCSS               |         11 |          1 |          1 |         13 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\light.module.scss                    | SCSS               |         18 |          0 |          1 |         19 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\lightControl.module.scss             | SCSS               |        106 |         34 |          2 |        142 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\map.module.scss                      | SCSS               |          9 |          0 |          1 |         10 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\resultTrack.module.scss              | SCSS               |        140 |          0 |          4 |        144 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\rightSide.module.scss                | SCSS               |         12 |          0 |          1 |         13 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\css\timeProgress.module.scss             | SCSS               |         51 |          0 |          1 |         52 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-left\index.jsx                            | JavaScript JSX     |         16 |          2 |          6 |         24 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-left\style.scss                           | SCSS               |        224 |          4 |         13 |        241 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-right\index.jsx                           | JavaScript JSX     |        242 |         13 |         34 |        289 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-right\junction\JunctionControl.jsx        | JavaScript JSX     |         23 |          0 |          2 |         25 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-right\junction\junction.module.scss       | SCSS               |         32 |          0 |          1 |         33 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-right\lightControl.scss                   | SCSS               |        284 |        109 |         17 |        410 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\sidebar-right\style.scss                          | SCSS               |        349 |          6 |         19 |        374 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\LeftSide.jsx                                        | JavaScript JSX     |         14 |          0 |          1 |         15 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\RightSide.jsx                                       | JavaScript JSX     |         12 |          0 |          2 |         14 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\even.module.scss                                | SCSS               |         69 |          5 |          2 |         76 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\leftside.module.scss                            | SCSS               |         13 |          1 |          1 |         15 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\rightside.module.scss                           | SCSS               |         12 |          0 |          1 |         13 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\specialTarget.module.scss                       | SCSS               |          8 |          0 |          1 |          9 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\speedGuage.module.scss                          | SCSS               |         27 |          0 |          1 |         28 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\trafficVolume.module.scss                       | SCSS               |         45 |          1 |          2 |         48 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\css\violationStatistic.module.scss                  | SCSS               |          8 |          0 |          1 |          9 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\even\Even.jsx                                       | JavaScript JSX     |         72 |          4 |          5 |         81 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\specialTarget\SpecialTarget.jsx                     | JavaScript JSX     |         92 |          0 |         11 |        103 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\speedGUage\SpeedGuage.jsx                           | JavaScript JSX     |        444 |          4 |         28 |        476 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\trafficVolume\TrafficVolume.jsx                     | JavaScript JSX     |        113 |          4 |         11 |        128 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\violationStatistic\ViolationStatistic.jsx           | JavaScript JSX     |         79 |          0 |         12 |         91 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\weather\Weather.jsx                                 | JavaScript JSX     |         15 |          0 |          6 |         21 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\LeftSide.jsx                                 | JavaScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\OptimiseOverview\OptimiseOverview.jsx        | JavaScript JSX     |         61 |          2 |          8 |         71 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\RightSide.jsx                                | JavaScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\controlModule\ControlModule.jsx              | JavaScript JSX     |         40 |         14 |          3 |         57 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\controlModule.module.scss                | SCSS               |         38 |          0 |          2 |         40 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\even.module.scss                         | SCSS               |         63 |          5 |          2 |         70 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\leftside.module.scss                     | SCSS               |         13 |          1 |          1 |         15 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\optimiseAnalysis.module.scss             | SCSS               |         46 |          0 |          4 |         50 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\optimiseOverview.module.scss             | SCSS               |         67 |          0 |          1 |         68 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\rightside.module.scss                    | SCSS               |         12 |          0 |          1 |         13 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\scrollAlert.module.scss                  | SCSS               |         91 |          0 |          4 |         95 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\signalJunction.module.scss               | SCSS               |         96 |          0 |          5 |        101 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\specialTarget.module.scss                | SCSS               |          8 |          0 |          1 |          9 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\trafficVolume.module.scss                | SCSS               |         45 |          1 |          2 |         48 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\violationStatistic.module.scss           | SCSS               |          8 |          0 |          1 |          9 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\wholeIndex.module.scss                   | SCSS               |         25 |          1 |          1 |         27 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\jamIndex\JamIndex.jsx                        | JavaScript JSX     |         43 |          7 |          6 |         56 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\operationAnalysis\OperationAnalysis.jsx      | JavaScript JSX     |        132 |          6 |         13 |        151 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\scrollAlert\ScrollAlert.jsx                  | JavaScript JSX     |         75 |          9 |         18 |        102 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\signalJunction\SignalJunction.jsx            | JavaScript JSX     |         49 |          5 |         11 |         65 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\signalRoad\SignalRoad.jsx                    | JavaScript JSX     |         47 |          3 |          9 |         59 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\specialTarget\SpecialTarget.jsx              | JavaScript JSX     |         92 |          0 |         11 |        103 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\violationStatistic\ViolationStatistic.jsx    | JavaScript JSX     |         79 |          0 |         12 |         91 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\weather\Weather.jsx                          | JavaScript JSX     |         15 |          0 |          6 |         21 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\wholeIndex\WholeIndex.jsx                    | JavaScript JSX     |        242 |          4 |         11 |        257 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\Guage.jsx                                        | JavaScript JSX     |         14 |          0 |          4 |         18 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\LeftSide.jsx                                     | JavaScript JSX     |         24 |          7 |          1 |         32 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\OperationDetect.jsx                              | JavaScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\RightSide.jsx                                    | JavaScript JSX     |         16 |          3 |          1 |         20 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\TotalTrafficVolume.jsx                           | JavaScript JSX     |         26 |          9 |          3 |         38 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\TrafficInfo-Guage.jsx                            | JavaScript JSX     |        396 |         13 |         14 |        423 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\TrafficSpeed.jsx                                 | JavaScript JSX     |        127 |          0 |          8 |        135 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\css\functionIcons.module.scss                    | SCSS               |         34 |          0 |          4 |         38 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\css\guage.module.scss                            | SCSS               |         42 |          2 |          1 |         45 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\css\leftside.module.scss                         | SCSS               |         35 |          2 |          1 |         38 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\css\operationDetect.module.scss                  | SCSS               |         44 |          0 |          2 |         46 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\css\rightside.module.scss                        | SCSS               |         10 |          0 |          1 |         11 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\css\scrollAlert.module.scss                      | SCSS               |         86 |          0 |          4 |         90 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\css\totalTrafficVolume.module.scss               | SCSS               |         62 |         17 |          2 |         81 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\css\trafficInfoGuage.module.scss                 | SCSS               |         46 |          0 |          1 |         47 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\css\trafficSpeed.module.scss                     | SCSS               |          9 |          0 |          1 |         10 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\css\weather.module.scss                          | SCSS               |         45 |          0 |          3 |         48 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\functionIcons\FunctionIcon.jsx                   | JavaScript JSX     |         47 |          0 |          3 |         50 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\scrollAlert\ScrollAlert.jsx                      | JavaScript JSX     |        113 |          5 |         14 |        132 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\highway\weather\Weather.jsx                              | JavaScript JSX     |         15 |          0 |          6 |         21 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\LeftSide.jsx                                    | JavaScript JSX     |         13 |          1 |          3 |         17 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\Map\Map.jsx                                     | JavaScript JSX     |        260 |         45 |         29 |        334 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\RightSide.jsx                                   | JavaScript JSX     |         13 |          1 |          1 |         15 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\TrafficCompare.jsx                              | JavaScript JSX     |        116 |          9 |          9 |        134 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\TrafficInfo3Guage.jsx                           | JavaScript JSX     |        442 |         13 |         14 |        469 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\TrafficRank\TrafficRank.jsx                     | JavaScript JSX     |         46 |         23 |         10 |         79 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\TrafficSummary.jsx                              | JavaScript JSX     |         15 |          2 |          7 |         24 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\css\leftSide.module.scss                        | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\css\map.module.scss                             | SCSS               |          9 |          0 |          1 |         10 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\css\rightSide.module.scss                       | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\css\trafficCompare.module.scss                  | SCSS               |         20 |          0 |          1 |         21 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\css\trafficInfo3Guage.module.scss               | SCSS               |         46 |          0 |          1 |         47 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\css\trafficRank.module.scss                     | SCSS               |         56 |          0 |          3 |         59 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\homeview\css\trafficSummary.module.scss                  | SCSS               |         51 |          1 |          4 |         56 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\Overview\Overview.jsx                                 | JavaScript JSX     |         33 |          0 |          5 |         38 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\Overview\index.scss                                   | SCSS               |         84 |          1 |         10 |         95 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\TopViolation\TopViolation.jsx                         | JavaScript JSX     |         33 |          0 |          6 |         39 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\TopViolation\index.scss                               | SCSS               |         52 |          0 |          6 |         58 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\TrafficJam\TrafficJam.jsx                             | JavaScript JSX     |        114 |          1 |          9 |        124 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\TrafficJam\index.scss                                 | SCSS               |         46 |          0 |          1 |         47 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\TrafficRank\TrafficRank.jsx                           | JavaScript JSX     |         42 |         27 |         10 |         79 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\TrafficRank\index.scss                                | SCSS               |         57 |          0 |          2 |         59 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\bottom\AverageDelay\AverageDelay.jsx                  | JavaScript JSX     |        109 |          4 |          8 |        121 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\bottom\AverageDelay\index.scss                        | SCSS               |         20 |          0 |          1 |         21 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\bottom\Overview\Overview.jsx                          | JavaScript JSX     |         46 |          0 |          8 |         54 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\bottom\Overview\index.scss                            | SCSS               |         84 |          1 |         10 |         95 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\bottom\TopViolation\TopViolation.jsx                  | JavaScript JSX     |         33 |          0 |          6 |         39 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\bottom\TopViolation\index.scss                        | SCSS               |         52 |          0 |          6 |         58 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\bottom\TrafficJam\TrafficJam.jsx                      | JavaScript JSX     |        114 |          1 |          9 |        124 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\bottom\TrafficJam\index.scss                          | SCSS               |         46 |          0 |          1 |         47 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\bottom\TrafficRank\TrafficRank.jsx                    | JavaScript JSX     |         42 |         27 |         10 |         79 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\bottom\TrafficRank\index.scss                         | SCSS               |         57 |          0 |          2 |         59 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-left\Bottom\index.jsx                         | JavaScript JSX     |         52 |          1 |          9 |         62 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-left\Bottom\style.scss                        | SCSS               |         93 |          0 |          4 |         97 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-left\Top\index.jsx                            | JavaScript JSX     |         33 |          0 |          2 |         35 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-left\Top\style.scss                           | SCSS               |         39 |          0 |          3 |         42 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-left\TrafficFlow\TrafficFlow.jsx              | JavaScript JSX     |         44 |          0 |          3 |         47 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-left\TrafficFlow\index.scss                   | SCSS               |         55 |          2 |          3 |         60 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-right\Bottom\index.jsx                        | JavaScript JSX     |        100 |         15 |          9 |        124 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-right\Bottom\style.scss                       | SCSS               |         26 |          0 |          2 |         28 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-right\FunctionIcons\FunctionIcons.jsx         | JavaScript JSX     |         44 |          0 |          2 |         46 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-right\FunctionIcons\index.scss                | SCSS               |         28 |          0 |          4 |         32 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-right\Top\index.jsx                           | JavaScript JSX     |         95 |         25 |         17 |        137 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-right\Top\style.scss                          | SCSS               |         75 |          0 |          3 |         78 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-right\ViolationOverview\ViolationOverview.jsx | JavaScript JSX     |        137 |          1 |         24 |        162 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\plan-view\sidebar-right\ViolationOverview\index.scss            | SCSS               |        161 |          2 |         12 |        175 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\highway.js                                                                | JavaScript         |         21 |          0 |          2 |         23 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\home.js                                                                   | JavaScript         |         17 |          0 |          1 |         18 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\FlowAnalysis\FlowAnalysis.jsx                                      | JavaScript JSX     |        127 |          3 |          5 |        135 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\FlowAnalysis\index.module.scss                                     | SCSS               |         22 |          1 |          2 |         25 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\FlowRuntime\FLowRuntime.jsx                                        | JavaScript JSX     |         53 |          0 |          5 |         58 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\FlowRuntime\index.module.scss                                      | SCSS               |         66 |          2 |          9 |         77 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\FlowTrend\FlowTrend.jsx                                            | JavaScript JSX     |         57 |          5 |         11 |         73 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\FlowTrend\index.module.scss                                        | SCSS               |         72 |          1 |          4 |         77 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\FunctionBar\FunctionBar.jsx                                        | JavaScript JSX     |         33 |          0 |          4 |         37 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\FunctionBar\index.module.scss                                      | SCSS               |         26 |          0 |          2 |         28 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\Icons\Icons.jsx                                                    | JavaScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\Icons\index.module.scss                                            | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\JunctionOptResult\JunctionOptResult.jsx                            | JavaScript JSX     |        145 |          4 |          7 |        156 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\JunctionOptResult\index.module.scss                                | SCSS               |         30 |          1 |          2 |         33 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\JunctionOptstrategy\JunctionOptstrategy.jsx                        | JavaScript JSX     |         61 |          3 |          7 |         71 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\JunctionOptstrategy\index.module.scss                              | SCSS               |         58 |          2 |          1 |         61 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\JunctionTimeprogress\JunctionTimeprogress.jsx                      | JavaScript JSX     |        465 |         20 |         42 |        527 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\JunctionTimeprogress\index.module.scss                             | SCSS               |         80 |          1 |          8 |         89 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\OptGraph\OptGraph.jsx                                              | JavaScript JSX     |        114 |          8 |         10 |        132 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\OptGraph\index.module.scss                                         | SCSS               |         57 |          6 |          6 |         69 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\OptText\OptText.jsx                                                | JavaScript JSX     |        126 |          9 |         12 |        147 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\OptText\index.module.scss                                          | SCSS               |         90 |          1 |          5 |         96 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\RightTopBtn\RightTopBtn.jsx                                        | JavaScript JSX     |         91 |          2 |          3 |         96 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\RightTopBtn\index.module.scss                                      | SCSS               |        102 |          5 |          9 |        116 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\TotalTrafficMonitor\TotalTrafficMonitor.jsx                        | JavaScript JSX     |        328 |         10 |         15 |        353 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\TotalTrafficMonitor\index.module.scss                              | SCSS               |         25 |          1 |          1 |         27 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\TrafficCongestionData\TrafficCongestionData.jsx                    | JavaScript JSX     |         88 |          3 |          7 |         98 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\TrafficCongestionData\index.module.scss                            | SCSS               |         87 |          0 |          6 |         93 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\TrafficCongestionMonitor\TrafficCongestionMonitor.jsx              | JavaScript JSX     |         47 |          1 |          5 |         53 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\TrafficCongestionMonitor\index.module.scss                         | SCSS               |         52 |          1 |          3 |         56 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\TrafficLive\TrafficLive.jsx                                        | JavaScript JSX     |         37 |          1 |          4 |         42 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\rights\TrafficLive\index.module.scss                                      | SCSS               |         25 |          2 |          5 |         32 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\css\FirstHeader.scss                                                                 | SCSS               |         43 |          0 |          3 |         46 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\css\centre.scss                                                                      | SCSS               |         16 |          1 |          1 |         18 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\css\common.scss                                                                      | SCSS               |        208 |         20 |         14 |        242 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\css\header.scss                                                                      | SCSS               |         46 |          5 |          2 |         53 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\css\highway.module.scss                                                              | SCSS               |         43 |          8 |          3 |         54 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\css\home.module.scss                                                                 | SCSS               |         42 |          8 |          2 |         52 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\css\index.scss                                                                       | SCSS               |         50 |         44 |          3 |         97 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\css\junction.scss                                                                    | SCSS               |         39 |          3 |          2 |         44 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\css\nav.module.scss                                                                  | SCSS               |         41 |          2 |          6 |         49 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\css\plan-0126.scss                                                                   | SCSS               |         45 |         18 |          4 |         67 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\css\plan.scss                                                                        | SCSS               |         47 |          3 |          4 |         54 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\css\reset.scss                                                                       | SCSS               |        129 |          5 |          1 |        135 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\index.js                                                                             | JavaScript         |         12 |          0 |          1 |         13 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\lightControl.js                                                                      | JavaScript         |         68 |         12 |          4 |         84 |
